Al,Au,Co,Cu,Hf,In,Mn,Mo,Nb,Nd,Ni,Pd,Pt,Sc,Ta,Ti,V,Zr,Zn,composition,formula,Alloy System,avg_first_ion_en_divi_voro_coord,avg_first_ion_en,avg_voro_coord,dev_mol_vol,avg_atom_mass,avg_mol_vol,Delta,NiTiHfCu base,a0 (A),a (A),b (A),c (A),beta,Transformation,lambda1_calculated,lambda2_reported,lambda2_calculated,lambda2_combined,lambda3_calculated,lambda1lambda2lambda3,Hysteresis (C),Hysteresis (C) new,Ms (C),Mf (C),As (C),Af (C),Tc (C),Enthalphy AtoM (J/g),Enthalphy MtoA (J/g),Enthalphy avg (J/g),Density_reported(g/cm^3),Enthalphy AtoM (J/cm3),Enthalphy MtoA (J/cm3),Enthalphy avg (J/cm3),Ref 1,Ref 2,Ref 3,Total,Predicted_Lambda2,deformation_direction,deformation_type,LDT_transformation_strain
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,Ni50.0Ti50.0,Ni1Ti1,NiTi,0.697665,7.23396,10.5,2.025,53.2802,8.615,8.49,FALSE,3.007,2.898,4.121,4.619,97.86,B19prime,0.929480012,,0.969067857,0.969067857,1.115642442,1.004891727,,,,,,,,,,,,,,,https://doi.org/10.1155/2014/489701,,,100,0.972,"[1, 1, 1]",tension,10.95441284
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,Ni50.0Ti50.0,Ni1Ti1,NiTi,0.697665,7.23396,10.5,2.025,53.2802,8.615,8.49,FALSE,3.007,2.898,4.121,4.619,97.86,B19prime,0.929480012,,0.969067857,0.969067857,1.115642442,1.004891727,,,,,,,,,,,,,,,https://doi.org/10.1155/2014/489701,,,100,0.972,"[1, 1, 1]",compression,3.270109958
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,Ni50.0Ti50.0,Ni1Ti1,NiTi,0.697665,7.23396,10.5,2.025,53.2802,8.615,8.49,FALSE,3.007,2.898,4.121,4.619,97.86,B19prime,0.929480012,,0.969067857,0.969067857,1.115642442,1.004891727,,,,,,,,,,,,,,,https://doi.org/10.1155/2014/489701,,,100,0.972,"[0, 1, 1]",tension,8.617433399
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,Ni50.0Ti50.0,Ni1Ti1,NiTi,0.697665,7.23396,10.5,2.025,53.2802,8.615,8.49,FALSE,3.007,2.898,4.121,4.619,97.86,B19prime,0.929480012,,0.969067857,0.969067857,1.115642442,1.004891727,,,,,,,,,,,,,,,https://doi.org/10.1155/2014/489701,,,100,0.972,"[0, 1, 1]",compression,5.506594904
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,Ni50.0Ti50.0,Ni1Ti1,NiTi,0.697665,7.23396,10.5,2.025,53.2802,8.615,8.49,FALSE,3.007,2.898,4.121,4.619,97.86,B19prime,0.929480012,,0.969067857,0.969067857,1.115642442,1.004891727,,,,,,,,,,,,,,,https://doi.org/10.1155/2014/489701,,,100,0.972,"[1, 1, 2]",tension,10.41359235
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,Ni50.0Ti50.0,Ni1Ti1,NiTi,0.697665,7.23396,10.5,2.025,53.2802,8.615,8.49,FALSE,3.007,2.898,4.121,4.619,97.86,B19prime,0.929480012,,0.969067857,0.969067857,1.115642442,1.004891727,,,,,,,,,,,,,,,https://doi.org/10.1155/2014/489701,,,100,0.972,"[1, 1, 2]",compression,6.324871113
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,Ni50.0Ti50.0,Ni1Ti1,NiTi,0.697665,7.23396,10.5,2.025,53.2802,8.615,8.49,FALSE,3.007,2.898,4.121,4.619,97.86,B19prime,0.929480012,,0.969067857,0.969067857,1.115642442,1.004891727,,,,,,,,,,,,,,,https://doi.org/10.1155/2014/489701,,,100,0.972,"[1, 4, 8]",tension,8.761107506
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,Ni50.0Ti50.0,Ni1Ti1,NiTi,0.697665,7.23396,10.5,2.025,53.2802,8.615,8.49,FALSE,3.007,2.898,4.121,4.619,97.86,B19prime,0.929480012,,0.969067857,0.969067857,1.115642442,1.004891727,,,,,,,,,,,,,,,https://doi.org/10.1155/2014/489701,,,100,0.972,"[1, 4, 8]",compression,6.825942787
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,Ni50.0Ti50.0,Ni1Ti1,NiTi,0.697665,7.23396,10.5,2.025,53.2802,8.615,8.49,FALSE,3.007,2.898,4.121,4.619,97.86,B19prime,0.929480012,,0.969067857,0.969067857,1.115642442,1.004891727,,,,,,,,,,,,,,,https://doi.org/10.1155/2014/489701,,,100,0.972,"[2, -2, -1]",tension,11.43912791
0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,0,0,0,Ni50.0Ti50.0,Ni1Ti1,NiTi,0.697665,7.23396,10.5,2.025,53.2802,8.615,8.49,FALSE,3.007,2.898,4.121,4.619,97.86,B19prime,0.929480012,,0.969067857,0.969067857,1.115642442,1.004891727,,,,,,,,,,,,,,,https://doi.org/10.1155/2014/489701,,,100,0.972,"[2, -2, -1]",compression,4.978535631
